user_id,timestamp,login_location,access_type,resource,device_type
user_20,2023-01-04 20:00:00,Bangalore,write,DevOps Dashboard,Desktop
user_30,2023-01-23 13:00:00,New York,read,Email,Desktop
user_50,2023-01-09 13:00:00,Bangalore,upload,DevOps Dashboard,Mobile
user_1,2023-01-11 18:00:00,New York,download,HR Portal,Mobile
user_29,2023-01-25 09:00:00,London,read,HR Portal,Desktop
user_35,2023-01-10 08:00:00,Bangalore,upload,HR Portal,Desktop
user_25,2023-01-31 11:00:00,San Francisco,write,CRM,Tablet
user_27,2023-01-15 08:00:00,New York,download,CRM,Desktop
user_41,2023-01-03 15:00:00,Bangalore,write,Email,Laptop
user_14,2023-01-22 14:00:00,Berlin,download,Finance System,Laptop
user_10,2023-01-25 20:00:00,London,write,Email,Desktop
user_28,2023-01-18 20:00:00,Berlin,read,HR Portal,Desktop
user_46,2023-01-12 16:00:00,London,write,CRM,Mobile
user_27,2023-01-29 16:00:00,Berlin,read,Email,Mobile
user_6,2023-01-20 08:00:00,New York,read,Email,Laptop
user_15,2023-01-11 16:00:00,London,upload,HR Portal,Desktop
user_25,2023-01-31 17:00:00,San Francisco,read,Email,Laptop
user_2,2023-01-20 16:00:00,London,write,Email,Tablet
user_14,2023-01-27 08:00:00,New York,read,CRM,Tablet
user_32,2023-01-04 13:00:00,San Francisco,download,CRM,Tablet
user_15,2023-01-05 14:00:00,Berlin,read,CRM,Mobile
user_20,2023-01-03 16:00:00,San Francisco,write,DevOps Dashboard,Mobile
user_15,2023-01-27 09:00:00,Berlin,download,CRM,Mobile
user_27,2023-01-07 09:00:00,New York,upload,CRM,Tablet
user_14,2023-01-23 14:00:00,New York,write,HR Portal,Tablet
user_34,2023-01-29 09:00:00,London,read,DevOps Dashboard,Mobile
user_16,2023-01-16 18:00:00,Bangalore,read,DevOps Dashboard,Desktop
user_46,2023-01-23 14:00:00,Berlin,upload,HR Portal,Laptop
user_1,2023-01-29 08:00:00,San Francisco,upload,DevOps Dashboard,Tablet
user_19,2023-01-28 16:00:00,London,upload,CRM,Tablet
user_14,2023-01-22 19:00:00,Berlin,download,DevOps Dashboard,Tablet
user_10,2023-01-09 19:00:00,San Francisco,upload,CRM,Desktop
user_28,2023-01-09 16:00:00,New York,download,DevOps Dashboard,Desktop
user_50,2023-01-06 20:00:00,San Francisco,read,CRM,Mobile
user_13,2023-01-11 11:00:00,Bangalore,upload,Email,Laptop
user_12,2023-01-31 09:00:00,Berlin,read,HR Portal,Laptop
user_22,2023-01-02 14:00:00,Bangalore,upload,HR Portal,Tablet
user_24,2023-01-28 15:00:00,Berlin,download,Finance System,Mobile
user_42,2023-01-10 13:00:00,New York,read,DevOps Dashboard,Tablet
user_1,2023-01-14 09:00:00,Berlin,write,CRM,Tablet
user_12,2023-01-03 18:00:00,Bangalore,write,Email,Tablet
user_27,2023-01-15 14:00:00,New York,download,Finance System,Laptop
user_37,2023-01-16 19:00:00,San Francisco,download,Email,Mobile
user_28,2023-01-15 11:00:00,Berlin,download,Finance System,Tablet
user_8,2023-01-09 09:00:00,Berlin,read,Email,Desktop
user_11,2023-01-07 15:00:00,New York,read,Finance System,Tablet
user_21,2023-01-20 20:00:00,Bangalore,read,Email,Desktop
user_15,2023-01-29 15:00:00,Berlin,upload,HR Portal,Tablet
user_3,2023-01-18 19:00:00,San Francisco,read,CRM,Mobile
user_25,2023-01-21 20:00:00,San Francisco,write,CRM,Tablet
user_24,2023-01-14 12:00:00,San Francisco,download,Email,Desktop
user_47,2023-01-27 10:00:00,New York,read,DevOps Dashboard,Mobile
user_45,2023-01-20 20:00:00,Berlin,download,HR Portal,Laptop
user_47,2023-01-17 18:00:00,London,upload,Finance System,Tablet
user_7,2023-01-05 20:00:00,London,upload,Finance System,Desktop
user_12,2023-01-28 08:00:00,San Francisco,read,Finance System,Laptop
user_41,2023-01-19 10:00:00,New York,download,CRM,Mobile
user_13,2023-01-24 17:00:00,Berlin,download,CRM,Laptop
user_12,2023-01-18 16:00:00,San Francisco,read,CRM,Tablet
user_43,2023-01-07 17:00:00,London,download,DevOps Dashboard,Mobile
user_36,2023-01-05 09:00:00,San Francisco,upload,HR Portal,Tablet
user_50,2023-01-21 15:00:00,Berlin,upload,DevOps Dashboard,Mobile
user_7,2023-01-08 10:00:00,New York,read,DevOps Dashboard,Tablet
user_30,2023-01-09 17:00:00,New York,upload,DevOps Dashboard,Tablet
user_50,2023-01-27 16:00:00,Bangalore,read,DevOps Dashboard,Laptop
user_25,2023-01-30 10:00:00,San Francisco,read,DevOps Dashboard,Tablet
user_18,2023-01-31 08:00:00,Berlin,write,HR Portal,Laptop
user_42,2023-01-04 08:00:00,London,write,Finance System,Tablet
user_12,2023-01-22 10:00:00,New York,download,Finance System,Laptop
user_18,2023-01-05 18:00:00,Bangalore,read,Email,Desktop
user_41,2023-01-23 13:00:00,New York,upload,Finance System,Laptop
user_27,2023-01-22 13:00:00,San Francisco,write,Finance System,Laptop
user_17,2023-01-06 15:00:00,Berlin,write,DevOps Dashboard,Laptop
user_16,2023-01-04 08:00:00,Berlin,upload,HR Portal,Desktop
user_38,2023-01-21 11:00:00,Bangalore,read,Finance System,Desktop
user_31,2023-01-24 13:00:00,Bangalore,upload,CRM,Tablet
user_41,2023-01-19 02:00:00,Unknown-Country,admin_override,Sensitive Database,Unregistered_Device
user_37,2023-01-02 17:00:00,San Francisco,upload,CRM,Mobile
user_21,2023-01-28 19:00:00,San Francisco,write,Email,Tablet
user_42,2023-01-03 13:00:00,Bangalore,upload,CRM,Tablet
user_12,2023-01-08 17:00:00,London,download,DevOps Dashboard,Desktop
user_28,2023-01-07 10:00:00,Bangalore,download,Finance System,Laptop
user_1,2023-01-26 15:00:00,San Francisco,read,HR Portal,Mobile
user_45,2023-01-14 17:00:00,London,write,HR Portal,Tablet
user_46,2023-01-09 12:00:00,Bangalore,write,DevOps Dashboard,Mobile
user_38,2023-01-28 08:00:00,Berlin,read,CRM,Desktop
user_26,2023-01-20 08:00:00,Bangalore,read,DevOps Dashboard,Tablet
user_32,2023-01-06 14:00:00,London,write,DevOps Dashboard,Mobile
user_4,2023-01-06 12:00:00,San Francisco,upload,DevOps Dashboard,Desktop
user_41,2023-01-09 20:00:00,Bangalore,upload,HR Portal,Mobile
user_14,2023-01-01 09:00:00,San Francisco,read,CRM,Tablet
user_11,2023-01-24 20:00:00,Berlin,write,Email,Desktop
user_2,2023-01-19 14:00:00,San Francisco,download,DevOps Dashboard,Mobile
user_46,2023-01-05 11:00:00,San Francisco,write,CRM,Desktop
user_41,2023-01-07 17:00:00,Bangalore,download,Email,Laptop
user_13,2023-01-20 16:00:00,San Francisco,read,HR Portal,Laptop
user_12,2023-01-25 19:00:00,New York,upload,CRM,Mobile
user_8,2023-01-08 11:00:00,New York,download,Email,Laptop
user_28,2023-01-09 16:00:00,London,write,HR Portal,Mobile
user_29,2023-01-08 18:00:00,New York,write,HR Portal,Mobile
user_50,2023-01-05 11:00:00,Berlin,write,HR Portal,Desktop
user_25,2023-01-19 11:00:00,New York,upload,HR Portal,Mobile
user_41,2023-01-05 12:00:00,San Francisco,download,Email,Laptop
user_38,2023-01-18 10:00:00,Bangalore,read,Finance System,Laptop
user_9,2023-01-24 11:00:00,Berlin,read,HR Portal,Tablet
user_21,2023-01-05 08:00:00,New York,upload,Finance System,Desktop
user_4,2023-01-26 18:00:00,Bangalore,read,HR Portal,Mobile
user_26,2023-01-02 11:00:00,San Francisco,upload,HR Portal,Desktop
user_45,2023-01-20 13:00:00,San Francisco,read,DevOps Dashboard,Laptop
user_37,2023-01-10 19:00:00,London,read,Finance System,Mobile
user_24,2023-01-22 12:00:00,New York,download,DevOps Dashboard,Desktop
user_21,2023-01-01 15:00:00,New York,write,CRM,Mobile
user_33,2023-01-25 15:00:00,New York,read,DevOps Dashboard,Tablet
user_17,2023-01-07 10:00:00,Bangalore,write,Email,Laptop
user_21,2023-01-06 19:00:00,New York,write,DevOps Dashboard,Desktop
user_24,2023-01-30 13:00:00,San Francisco,upload,DevOps Dashboard,Tablet
user_26,2023-01-25 14:00:00,San Francisco,upload,CRM,Desktop
user_1,2023-01-13 11:00:00,London,download,DevOps Dashboard,Desktop
user_47,2023-01-12 16:00:00,London,read,CRM,Mobile
user_5,2023-01-03 16:00:00,London,read,HR Portal,Mobile
user_49,2023-01-06 16:00:00,Bangalore,read,DevOps Dashboard,Mobile
user_33,2023-01-17 18:00:00,London,upload,DevOps Dashboard,Tablet
user_47,2023-01-29 20:00:00,London,read,Email,Desktop
user_21,2023-01-01 15:00:00,Bangalore,upload,Finance System,Laptop
user_41,2023-01-21 14:00:00,Bangalore,write,Email,Mobile
user_50,2023-01-13 12:00:00,Berlin,upload,Email,Desktop
user_36,2023-01-24 15:00:00,San Francisco,upload,DevOps Dashboard,Laptop
user_22,2023-01-03 17:00:00,San Francisco,download,CRM,Tablet
user_35,2023-01-31 15:00:00,New York,upload,HR Portal,Tablet
user_38,2023-01-02 15:00:00,London,upload,CRM,Laptop
user_18,2023-01-21 08:00:00,Bangalore,read,Finance System,Tablet
user_1,2023-01-28 17:00:00,Berlin,write,HR Portal,Tablet
user_11,2023-01-22 17:00:00,Bangalore,download,DevOps Dashboard,Desktop
user_20,2023-01-31 20:00:00,Berlin,write,CRM,Tablet
user_4,2023-01-07 11:00:00,San Francisco,upload,Finance System,Desktop
user_4,2023-01-12 18:00:00,Berlin,download,Finance System,Tablet
user_36,2023-01-30 19:00:00,New York,read,HR Portal,Mobile
user_10,2023-01-20 11:00:00,Bangalore,download,Finance System,Mobile
user_45,2023-01-18 15:00:00,London,download,Email,Laptop
user_6,2023-01-22 12:00:00,San Francisco,read,HR Portal,Mobile
user_31,2023-01-19 12:00:00,San Francisco,write,HR Portal,Mobile
user_34,2023-01-13 13:00:00,London,upload,Finance System,Desktop
user_35,2023-01-12 16:00:00,San Francisco,write,CRM,Laptop
user_20,2023-01-15 14:00:00,Bangalore,read,DevOps Dashboard,Laptop
user_47,2023-01-07 11:00:00,Berlin,write,DevOps Dashboard,Laptop
user_28,2023-01-16 12:00:00,London,upload,Email,Tablet
user_8,2023-01-20 18:00:00,Berlin,read,CRM,Tablet
user_31,2023-01-06 08:00:00,New York,read,HR Portal,Tablet
user_42,2023-01-22 16:00:00,Berlin,read,Finance System,Laptop
user_46,2023-01-10 11:00:00,New York,read,Email,Tablet
user_33,2023-01-08 13:00:00,Berlin,write,DevOps Dashboard,Desktop
user_29,2023-01-22 14:00:00,New York,upload,Email,Tablet
user_41,2023-01-11 12:00:00,London,download,HR Portal,Laptop
user_35,2023-01-10 20:00:00,San Francisco,download,HR Portal,Desktop
user_38,2023-01-07 11:00:00,London,read,HR Portal,Mobile
user_49,2023-01-07 12:00:00,Bangalore,download,HR Portal,Laptop
user_49,2023-01-07 16:00:00,San Francisco,read,HR Portal,Laptop
user_15,2023-01-28 09:00:00,London,write,DevOps Dashboard,Tablet
user_13,2023-01-17 19:00:00,London,write,CRM,Desktop
user_23,2023-01-18 18:00:00,Bangalore,write,HR Portal,Laptop
user_35,2023-01-08 13:00:00,London,download,Finance System,Desktop
user_42,2023-01-12 12:00:00,New York,download,HR Portal,Desktop
user_19,2023-01-15 14:00:00,New York,upload,CRM,Laptop
user_48,2023-01-04 14:00:00,London,write,Finance System,Desktop
user_20,2023-01-21 10:00:00,New York,write,DevOps Dashboard,Tablet
user_12,2023-01-21 16:00:00,New York,write,HR Portal,Mobile
user_36,2023-01-08 11:00:00,New York,read,DevOps Dashboard,Mobile
user_36,2023-01-20 10:00:00,Bangalore,upload,Finance System,Mobile
